Unit,File Name Y/M/D,File Time,Initials,Date,Species,No. Ind.,0min,1min,2min,3min,4min,TMTC,VT,TBC,Comment,Verified
SMA04726,20210707,090000,,,Carolina Wren,,,,,,X,,,,,
SMA04726,20210616,080000,,,Carolina Wren,,X,,,,,,,,,
SMA04726,20210704,090000,,,Carolina Wren,,X,X,,,,,,,,
SMA04726,20210722,190000,,,Carolina Wren,,,,,X,,,,,,
SMA04726,20210628,060000,,,Carolina Wren,,,,X,X,,,,,,
SMA04726,20210626,100000,,,Carolina Wren,,X,,,,,,,,,
SMA04726,20210701,190000,,,Carolina Wren,,,,,X,,,,,,
SMA04726,20210709,070000,,,Carolina Wren,,X,,,,,,,,,
SMA04726,20210621,090000,,,Carolina Wren,,,,,X,,,,,,
SMA04726,20210720,200000,,,Carolina Wren,,,X,,,,,,,,
SMA04726,20210618,070000,,,Carolina Wren,,,X,X,,,,,,,
SMA04726,20210630,160000,,,Carolina Wren,,,,,,X,,,,,
SMA04726,20210711,080000,,,Carolina Wren,,,,X,X,,,,,,
SMA04726,20210621,190000,,,Carolina Wren,,X,,,,,,,,,
SMA04726,20210625,170000,,,Carolina Wren,,,,,X,X,,,,,
SMA04726,20210717,070000,,,Carolina Wren,,,,,X,,,,,,
SMA04726,20210725,160000,,,Carolina Wren,,X,,,,,,,,,
SMA04726,20210725,070000,,,Carolina Wren,,X,,,,,,,,,
SMA04726,20210715,080000,,,Carolina Wren,,X,,,,,,,,,
SMA04726,20210711,100000,,,Carolina Wren,,X,X,,,,,,,,
SMA04726,20210710,060000,,,Carolina Wren,,,X,,,,,,,,
SMA04726,20210717,110000,,,Carolina Wren,,,,,X,X,,,,,
SMA04726,20210701,170000,,,Carolina Wren,,,X,,,,,,,,
SMA04726,20210623,140000,,,Carolina Wren,,,,,,X,,,,,
SMA04726,20210626,060000,,,Carolina Wren,,X,,,,,,,,,
SMA04726,20210713,110000,,,Carolina Wren,,,,,,X,,,,,
SMA04726,20210721,180000,,,Carolina Wren,,X,,,,,,,,,
SMA04726,20210630,070000,,,Carolina Wren,,,,,,X,,,,,
SMA04726,20210703,090000,,,Carolina Wren,,,,,X,,,,,,
SMA04726,20210629,170000,,,Carolina Wren,,X,,,,,,,,,
SMA04726,20210718,110000,,,Carolina Wren,,X,,,,,,,,,
SMA04726,20210627,150000,,,Carolina Wren,,X,X,,,,,,,,
SMA04726,20210712,070000,,,Carolina Wren,,,,,X,,,,,,
SMA04726,20210628,090000,,,Carolina Wren,,,,X,,,,,,,
SMA04726,20210723,120000,,,Carolina Wren,,X,,,,,,,,,
SMA04726,20210629,100000,,,Carolina Wren,,,,,,X,,,,,
